behavior	displayName	category	description	visualType	agentic	capabilities	defaultNature	allowedNatures	commands	runtimeConcurrencyDefault	runtimeConcurrencyCeiling	property	propertyDisplayName	propertyDescription	type	required	default	allowed	adapterBinding	visibleWhen	requiredWhen	minimum	maximum	maximumUtf8Bytes	maximumItems	maximumItemUtf8Bytes	descriptorOutcomes
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	provider	Provider	Name of a model profile this deployment declared in its environment (RAVENROOT_LLM_PROFILE_<hex(name)>).	STRING	true			true	agentDefinition:BLANK:	agentDefinition:BLANK:			0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	instructions	Instructions	Who the agent is and how it should work. Sent as untrusted graph content, separate from operator policy. Supports {{payload}}, {{payload.a.b}} and {{attributes.x}}.	TEXT	true			false	agentDefinition:BLANK:	agentDefinition:BLANK:			0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	objective	Objective	The task for this invocation. Sent as the first user turn. Supports {{payload}}, {{payload.a.b}} and {{attributes.x}}.	TEXT	true			false	agentDefinition:BLANK:	agentDefinition:BLANK:			0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	model	Model	Overrides the profile's model. The endpoint is not overridable.	STRING	false			false	agentDefinition:BLANK:				0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	mcpServers	MCP servers	Comma-separated names of MCP servers this deployment declared in its environment (RAVENROOT_MCP_SERVER_<hex(name)>). Their tools are offered to the model as <server>__<tool>. The executing runtime applies its configured admission ceiling.	STRING	false			false	agentDefinition:BLANK:				0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	maxTurns	Max turns	Model turns this run may take before it is refused. Defaults to the executing runtime default and may not exceed its configured ceiling.	INTEGER	false			false	agentDefinition:BLANK:				0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	maxTotalTokens	Max tokens	Cumulative reported tokens across the whole run before it is refused. The operator's finite ceiling still applies when absent.	INTEGER	false			false	agentDefinition:BLANK:				0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	timeoutMs	Deadline	Deadline for the WHOLE run, not for one turn. May only tighten the profile deadline.	INTEGER	false			false	agentDefinition:BLANK:				0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	maxTokens	Max tokens per turn	Upper bound on one generated turn, when the endpoint honours it.	INTEGER	false			false	agentDefinition:BLANK:				0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
agent	Agent	AI	Named bounded Agent with optional governed Workspace access.	agent	true	agentic,ai,credential-reference,external-provider,network	WORKER	WORKER	handoff,implement,integrate,plan,read,remediate,research,resume,review,summarize,test	64	256	temperature	Temperature	Sampling temperature forwarded verbatim.	STRING	false			false	agentDefinition:BLANK:				0	0	0	continue: The agent finished and its answer becomes the outgoing payload. The only outcome this node produces: anything else fails the node.; answered: Governed Agent result.; approved: Governed Agent result.; blocked: Governed Agent result.; changes-requested: Governed Agent result.; completed: Governed Agent result.; escalation: Governed Agent result.; failed: Governed Agent result.; fixed: Governed Agent result.; flaky: Governed Agent result.; inconclusive: Governed Agent result.; needs-input: Governed Agent result.; needs-work: Governed Agent result.; not-fixed: Governed Agent result.; passed: Governed Agent result.
